구분,자동차용경유,실내등유
2015년11월16일,694.58,680.71
2015년11월17일,694.58,680.71
2015년11월18일,695.15,679.44
2015년11월19일,694.17,678.73
2015년11월20일,692.60,677.01
2015년11월21일,692.09,676.64
2015년11월22일,689.93,675.61
2015년11월23일,690.03,675.20
2015년11월24일,690.54,673.57
2015년11월25일,687.85,672.02
2015년11월26일,686.58,672.55
2015년11월27일,685.00,670.40
2015년11월28일,682.08,669.11
2015년11월29일,681.25,669.14
2015년11월30일,680.12,669.39
2015년12월01일,679.72,669.18
2015년12월02일,677.57,667.32
2015년12월03일,677.28,665.86
2015년12월04일,676.54,664.40
2015년12월05일,675.43,663.81
2015년12월06일,675.05,662.91
2015년12월07일,674.67,662.48
2015년12월08일,675.81,661.64
2015년12월09일,673.99,660.69
2015년12월10일,673.33,659.91
2015년12월11일,672.35,659.61
2015년12월12일,670.36,657.73
2015년12월13일,669.33,657.06
2015년12월14일,668.08,657.07
2015년12월15일,666.97,655.64
2015년12월16일,665.87,654.92
2015년12월17일,664.13,652.60
2015년12월18일,663.02,652.74
2015년12월19일,661.14,651.22
2015년12월20일,659.32,649.16
2015년12월21일,659.81,648.45
2015년12월22일,656.62,647.09
2015년12월23일,654.54,645.71
2015년12월24일,651.32,642.67
2015년12월25일,648.08,640.88
2015년12월26일,647.46,639.13
2015년12월27일,645.45,639.44
2015년12월28일,645.64,638.19
2015년12월29일,645.25,636.56
2015년12월30일,644.34,634.90
2015년12월31일,642.71,632.88
2016년01월01일,641.49,631.42
2016년01월02일,641.48,631.45
2016년01월03일,641.28,630.36
2016년01월04일,640.14,630.25
2016년01월05일,638.61,628.57
2016년01월06일,636.44,627.84
2016년01월07일,634.22,624.16
2016년01월08일,604.53,606.06
2016년01월09일,607.39,604.69
2016년01월10일,610.37,606.05
2016년01월11일,611.98,606.31
2016년01월12일,609.73,606.32
2016년01월13일,608.20,604.82
2016년01월14일,606.59,604.99
2016년01월15일,605.01,600.94
2016년01월16일,602.23,598.62
2016년01월17일,599.25,597.81
2016년01월18일,599.64,597.24
2016년01월19일,597.75,592.12
2016년01월20일,594.34,590.21
2016년01월21일,591.70,587.37
2016년01월22일,589.42,584.72
2016년01월23일,585.34,580.81
2016년01월24일,583.59,579.61
2016년01월25일,582.12,578.36
2016년01월26일,578.49,576.02
2016년01월27일,575.38,571.96
2016년01월28일,573.06,569.93
2016년01월29일,570.79,567.45
2016년01월30일,569.85,565.14
2016년01월31일,568.05,563.66
2016년02월01일,567.10,565.62
2016년02월02일,564.75,561.82
2016년02월03일,563.14,559.98
2016년02월04일,560.27,556.07
2016년02월05일,559.56,554.37
2016년02월06일,556.67,552.66
2016년02월07일,556.02,551.09
2016년02월08일,556.33,550.24
2016년02월09일,555.23,549.75
2016년02월10일,554.38,548.83
2016년02월11일,554.34,547.44
2016년02월12일,553.19,545.08
2016년02월13일,551.08,543.95
2016년02월14일,549.05,542.18
2016년02월15일,548.21,541.20
2016년02월16일,547.74,539.56
2016년02월17일,546.15,539.98
2016년02월18일,545.04,539.68
2016년02월19일,542.72,538.71
2016년02월20일,540.55,537.73
2016년02월21일,539.86,538.16
2016년02월22일,539.47,537.75
2016년02월23일,539.22,537.12
2016년02월24일,537.28,534.88
2016년02월25일,536.53,533.28
2016년02월26일,534.50,532.14
2016년02월27일,534.14,531.14
2016년02월28일,533.53,530.25
2016년02월29일,533.16,528.88
2016년03월01일,532.42,527.65
2016년03월02일,531.73,526.92
2016년03월03일,530.58,527.65
2016년03월04일,531.79,526.82
2016년03월05일,531.07,528.01
2016년03월06일,531.08,527.71
2016년03월07일,531.00,527.47
2016년03월08일,530.56,525.29
2016년03월09일,530.26,525.07
2016년03월10일,531.11,524.55
2016년03월11일,530.56,525.35
2016년03월12일,532.01,525.51
2016년03월13일,532.36,526.80
2016년03월14일,532.89,527.37
2016년03월15일,533.20,527.99
2016년03월16일,534.16,527.04
2016년03월17일,535.55,529.42
2016년03월18일,536.69,528.59
2016년03월19일,537.25,530.54
2016년03월20일,538.77,530.33
2016년03월21일,539.13,529.83
2016년03월22일,540.09,530.63
2016년03월23일,541.74,532.22
2016년03월24일,543.13,531.35
2016년03월25일,544.54,532.46
2016년03월26일,545.92,534.29
2016년03월27일,547.40,535.99
2016년03월28일,547.43,536.48
2016년03월29일,548.34,537.96
2016년03월30일,550.14,538.87
2016년03월31일,549.29,539.98
2016년04월01일,550.11,540.08
2016년04월02일,552.52,539.85
2016년04월03일,552.53,540.67
2016년04월04일,551.90,540.97
2016년04월05일,553.00,543.09
2016년04월06일,553.12,542.67
2016년04월07일,553.84,541.59
2016년04월08일,553.95,543.68
2016년04월09일,553.39,542.69
2016년04월10일,553.80,541.96
2016년04월11일,553.36,541.68
2016년04월12일,554.57,541.10
2016년04월13일,553.27,541.45
2016년04월14일,553.37,542.83
2016년04월15일,552.31,542.16
2016년04월16일,554.00,543.13
2016년04월17일,553.83,542.58
2016년04월18일,553.62,542.32
2016년04월19일,553.64,542.75
2016년04월20일,552.98,540.54
2016년04월21일,552.15,539.92
2016년04월22일,553.57,539.94
2016년04월23일,552.56,539.69
2016년04월24일,552.64,539.40
2016년04월25일,552.70,539.72
2016년04월26일,552.12,540.38
2016년04월27일,552.22,540.43
2016년04월28일,552.12,543.28
2016년04월29일,552.27,544.61
2016년04월30일,551.55,543.09
2016년05월01일,551.55,543.09
2016년05월02일,551.62,542.66
2016년05월03일,551.68,542.10
2016년05월04일,552.49,542.21
2016년05월05일,554.08,542.88
2016년05월06일,554.35,540.96
2016년05월07일,554.21,543.06
2016년05월08일,554.84,544.00
2016년05월09일,554.95,543.50
2016년05월10일,556.01,545.61
2016년05월11일,556.49,545.95
2016년05월12일,557.15,545.62
2016년05월13일,557.83,544.81
2016년05월14일,559.11,546.82
2016년05월15일,560.06,545.37
2016년05월16일,560.57,545.34
2016년05월17일,560.87,546.23
2016년05월18일,562.59,546.64
2016년05월19일,563.60,547.37
2016년05월20일,565.57,547.98
2016년05월21일,565.37,547.98
2016년05월22일,569.19,548.21
2016년05월23일,570.45,550.07
2016년05월24일,571.98,551.17
2016년05월25일,574.99,550.39
2016년05월26일,578.36,552.17
2016년05월27일,579.95,553.86
2016년05월28일,583.57,556.64
2016년05월29일,585.48,558.30
2016년05월30일,585.83,558.32
2016년05월31일,587.59,560.64
2016년06월01일,591.29,564.66
2016년06월02일,596.31,566.85
2016년06월03일,599.02,569.35
2016년06월04일,600.66,570.73
2016년06월05일,602.75,571.53
2016년06월06일,603.29,572.87
2016년06월07일,603.54,574.79
2016년06월08일,606.18,578.29
2016년06월09일,607.59,579.87
2016년06월10일,608.57,581.51
2016년06월11일,610.50,584.00
2016년06월12일,611.21,585.44
2016년06월13일,611.40,585.11
2016년06월14일,613.36,586.97
2016년06월15일,615.25,586.25
2016년06월16일,616.40,588.67
2016년06월17일,616.89,588.38
2016년06월18일,617.46,586.24
2016년06월19일,618.71,586.26
2016년06월20일,619.01,586.55
2016년06월21일,619.20,586.65
2016년06월22일,619.00,586.74
2016년06월23일,619.38,586.89
2016년06월24일,620.27,587.62
2016년06월25일,622.77,591.32
2016년06월26일,621.70,590.99
2016년06월27일,621.84,590.77
2016년06월28일,621.38,592.27
2016년06월29일,621.93,593.21
2016년06월30일,622.10,594.76
2016년07월01일,622.24,593.90
2016년07월02일,623.11,593.32
2016년07월03일,624.25,594.23
2016년07월04일,623.89,594.74
2016년07월05일,624.29,594.38
2016년07월06일,624.70,594.89
2016년07월07일,662.58,602.23
2016년07월08일,666.45,605.30
2016년07월09일,669.30,607.54
2016년07월10일,670.34,609.53
2016년07월11일,670.84,610.90
2016년07월12일,670.32,608.54
2016년07월13일,670.96,611.34
2016년07월14일,671.58,611.11
2016년07월15일,670.60,610.94
2016년07월16일,670.36,613.56
2016년07월17일,670.55,613.74
2016년07월18일,670.66,613.13
2016년07월19일,670.61,614.28
2016년07월20일,670.52,614.58
2016년07월21일,669.88,615.49
2016년07월22일,669.69,614.36
2016년07월23일,669.54,616.15
2016년07월24일,669.04,616.08
2016년07월25일,669.24,616.13
2016년07월26일,668.57,615.78
2016년07월27일,668.31,617.16
2016년07월28일,667.67,617.45
2016년07월29일,667.04,617.22
2016년07월30일,666.43,617.43
2016년07월31일,666.03,618.37
2016년08월01일,665.70,618.61
2016년08월02일,665.49,619.13
2016년08월03일,665.27,619.04
2016년08월04일,664.85,618.70
2016년08월05일,664.54,618.70
2016년08월06일,664.54,618.70
2016년08월07일,663.52,618.84
2016년08월08일,662.82,618.33
2016년08월09일,661.94,617.99
2016년08월10일,661.46,617.90
2016년08월11일,660.40,618.31
2016년08월12일,659.78,616.59
2016년08월13일,659.95,617.45
2016년08월14일,659.50,617.46
2016년08월15일,659.87,617.81
2016년08월16일,659.01,616.62
2016년08월17일,658.33,615.68
2016년08월18일,658.02,614.76
2016년08월19일,657.64,614.77
2016년08월20일,657.27,615.01
2016년08월21일,657.27,615.01
2016년08월22일,656.93,613.70
2016년08월23일,656.73,613.60
2016년08월24일,656.36,614.13
2016년08월25일,656.28,613.61
2016년08월26일,655.92,614.34
2016년08월27일,655.95,613.55
2016년08월28일,656.50,614.32
2016년08월29일,656.52,614.36
2016년08월30일,655.67,613.25
2016년08월31일,655.66,613.54
2016년09월01일,656.18,612.96
2016년09월02일,656.70,613.73
2016년09월03일,657.07,614.09
2016년09월04일,657.36,614.33
2016년09월05일,657.50,613.96
2016년09월06일,657.47,613.36
2016년09월07일,657.14,612.68
2016년09월08일,657.43,612.47
2016년09월09일,656.96,613.19
2016년09월10일,657.17,614.17
2016년09월11일,657.59,614.66
2016년09월12일,657.75,614.82
2016년09월13일,657.60,614.90
2016년09월14일,657.32,614.70
2016년09월15일,657.57,614.83
2016년09월16일,657.47,614.27
2016년09월17일,657.02,613.76
2016년09월18일,656.92,612.88
2016년09월19일,656.77,612.10
2016년09월20일,656.52,612.40
2016년09월21일,655.63,613.09
2016년09월22일,655.58,614.40
2016년09월23일,655.43,615.05
2016년09월24일,655.08,615.10
2016년09월25일,655.38,615.75
2016년09월26일,655.61,615.89
2016년09월27일,655.27,616.44
2016년09월28일,655.38,616.47
2016년09월29일,655.28,616.72
2016년09월30일,654.95,616.50
2016년10월01일,654.56,616.39
2016년10월02일,655.11,615.93
2016년10월03일,655.43,615.71
2016년10월04일,655.55,615.73
2016년10월05일,655.51,615.92
2016년10월06일,654.99,616.12
2016년10월07일,655.33,616.06
2016년10월08일,655.64,616.27
2016년10월09일,655.67,616.29
2016년10월10일,655.74,615.64
2016년10월11일,655.59,616.54
2016년10월12일,656.56,617.63
2016년10월13일,657.39,618.57
2016년10월14일,658.13,618.94
2016년10월15일,658.55,619.85
2016년10월16일,658.94,619.87
2016년10월17일,659.47,619.89
2016년10월18일,659.75,620.61
2016년10월19일,660.41,620.94
2016년10월20일,660.83,621.72
2016년10월21일,661.69,622.39
2016년10월22일,662.00,622.63
2016년10월23일,662.62,622.36
2016년10월24일,662.61,622.65
2016년10월25일,663.06,623.63
2016년10월26일,663.56,624.76
2016년10월27일,664.14,625.67
2016년10월28일,664.67,626.07
2016년10월29일,664.78,626.45
2016년10월30일,665.24,627.57
2016년10월31일,665.17,627.42
2016년11월01일,665.24,627.86
2016년11월02일,666.57,628.74
2016년11월03일,667.07,629.73
2016년11월04일,667.73,630.50
2016년11월05일,668.47,630.39
2016년11월06일,669.08,630.91
2016년11월07일,669.15,630.77
2016년11월08일,669.20,630.77
2016년11월09일,669.36,630.55
2016년11월10일,669.34,631.31
2016년11월11일,669.59,631.13
2016년11월12일,669.27,631.07
2016년11월13일,669.69,630.75
2016년11월14일,669.60,630.18
2016년11월15일,669.55,630.21
2016년11월16일,669.39,630.43
2016년11월17일,668.90,630.78
2016년11월18일,668.85,630.11
2016년11월19일,668.76,629.98
2016년11월20일,668.89,629.80
2016년11월21일,668.64,629.57
2016년11월22일,668.45,629.69
2016년11월23일,668.20,629.16
2016년11월24일,667.83,629.94
2016년11월25일,667.79,629.92
2016년11월26일,667.87,629.88
2016년11월27일,667.88,629.79
2016년11월28일,667.84,630.11
2016년11월29일,667.45,629.24
2016년11월30일,667.44,629.25
2016년12월01일,667.13,629.84
2016년12월02일,667.65,630.44
2016년12월03일,668.04,630.56
2016년12월04일,668.94,630.60
2016년12월05일,669.25,630.32
2016년12월06일,669.73,630.50
2016년12월07일,670.02,630.44
2016년12월08일,670.58,631.48
2016년12월09일,671.61,632.11
2016년12월10일,672.48,633.12
2016년12월11일,673.23,633.04
2016년12월12일,673.41,633.02
2016년12월13일,674.49,634.05
2016년12월14일,676.29,635.40
2016년12월15일,678.77,637.77
2016년12월16일,680.71,639.95
2016년12월17일,682.04,641.73
2016년12월18일,683.33,642.98
2016년12월19일,683.73,643.52
2016년12월20일,684.87,644.66
2016년12월21일,686.31,647.00
2016년12월22일,688.34,648.16
2016년12월23일,689.41,649.41
2016년12월24일,691.14,651.41
2016년12월25일,692.37,652.59
2016년12월26일,692.56,652.90
2016년12월27일,693.40,654.87
2016년12월28일,695.10,656.88
2016년12월29일,696.33,658.99
2016년12월30일,697.78,660.32
2016년12월31일,700.15,662.66
2017년01월01일,701.54,663.72
2017년01월02일,701.54,663.60
2017년01월03일,701.21,663.60
2017년01월04일,701.20,663.60
2017년01월05일,701.05,663.53
2017년01월06일,701.17,662.65
2017년01월07일,705.47,663.88
2017년01월08일,707.02,664.31
2017년01월09일,707.70,664.15
2017년01월10일,710.35,666.10
2017년01월11일,711.60,669.10
2017년01월12일,714.08,671.66
2017년01월13일,715.88,673.85
2017년01월14일,717.11,675.14
2017년01월15일,718.56,676.84
2017년01월16일,719.42,677.52
2017년01월17일,720.21,679.07
2017년01월18일,721.26,680.71
2017년01월19일,722.32,681.90
2017년01월20일,722.76,682.80
2017년01월21일,723.46,683.55
2017년01월22일,724.33,685.06
2017년01월23일,724.33,685.65
2017년01월24일,724.90,686.41
2017년01월25일,725.00,687.45
2017년01월26일,725.53,688.24
2017년01월27일,726.40,689.49
2017년01월28일,726.19,688.93
2017년01월29일,726.03,688.77
2017년01월30일,724.97,688.20
2017년01월31일,725.02,688.21
2017년02월01일,726.11,687.54
2017년02월02일,727.01,687.52
2017년02월03일,727.70,688.54
2017년02월04일,728.01,688.91
2017년02월05일,728.15,688.74
2017년02월06일,728.31,687.70
2017년02월07일,729.37,689.05
2017년02월08일,729.37,689.05
2017년02월09일,729.37,689.04
2017년02월10일,729.32,688.82
2017년02월11일,729.05,689.44
2017년02월12일,728.45,689.35
2017년02월13일,727.56,687.81
2017년02월14일,725.76,686.78
2017년02월15일,731.17,691.26
2017년02월16일,731.23,692.13
2017년02월17일,731.34,691.69
2017년02월18일,731.09,692.05
2017년02월19일,731.08,691.78
2017년02월20일,730.46,691.36
2017년02월21일,730.40,690.61
2017년02월22일,730.59,690.05
2017년02월23일,730.38,690.85
2017년02월24일,730.42,690.71
2017년02월25일,730.15,691.21
2017년02월26일,730.30,690.84
2017년02월27일,730.20,690.59
2017년02월28일,729.82,689.47
2017년03월01일,729.33,689.83
2017년03월02일,730.43,690.14
2017년03월03일,730.36,690.05
2017년03월04일,730.60,690.06
2017년03월05일,730.81,690.14
2017년03월06일,730.97,690.19
2017년03월07일,730.81,690.60
2017년03월08일,730.58,690.60
2017년03월09일,730.69,690.84
2017년03월10일,730.61,691.74
2017년03월11일,730.52,691.65
2017년03월12일,730.83,691.93
2017년03월13일,730.94,691.96
2017년03월14일,730.48,691.70
2017년03월15일,730.55,691.25
2017년03월16일,730.40,691.18
2017년03월17일,730.44,689.98
2017년03월18일,730.00,689.44
2017년03월19일,730.19,688.53
2017년03월20일,729.94,687.63
2017년03월21일,729.58,686.88
2017년03월22일,729.04,686.92
2017년03월23일,728.81,686.21
2017년03월24일,727.84,686.27
2017년03월25일,727.15,686.34
2017년03월26일,726.89,686.78
2017년03월27일,726.72,686.14
2017년03월28일,726.45,685.54
2017년03월29일,725.55,685.31
2017년03월30일,725.09,685.14
2017년03월31일,724.49,684.82
2017년04월01일,723.78,683.08
2017년04월02일,722.93,682.92
2017년04월03일,722.87,682.80
2017년04월04일,721.74,682.65
2017년04월05일,721.67,682.62
2017년04월06일,720.52,681.17
2017년04월07일,720.35,681.08
2017년04월08일,719.89,680.58
2017년04월09일,720.06,680.46
2017년04월10일,719.80,680.55
2017년04월11일,719.42,680.51
2017년04월12일,718.94,680.19
2017년04월13일,718.62,680.28
2017년04월14일,718.96,680.26
2017년04월15일,719.08,680.60
2017년04월16일,719.55,680.23
2017년04월17일,719.31,680.19
2017년04월18일,719.06,678.98
2017년04월19일,718.71,678.72
2017년04월20일,718.71,678.72
2017년04월21일,718.44,678.17
2017년04월22일,718.99,678.54
2017년04월23일,718.46,677.88
2017년04월24일,718.47,677.18
2017년04월25일,718.40,675.60
2017년04월26일,718.30,675.91
2017년04월27일,718.08,675.47
2017년04월28일,718.21,676.02
2017년04월29일,718.02,676.44
2017년04월30일,718.25,677.35
2017년05월01일,718.37,677.38
2017년05월02일,718.24,677.57
2017년05월03일,718.01,677.44
2017년05월04일,718.00,677.84
2017년05월05일,717.86,679.35
2017년05월06일,717.68,679.36
2017년05월07일,717.66,679.56
2017년05월08일,717.61,678.72
2017년05월09일,717.29,678.28
2017년05월10일,717.14,679.08
2017년05월11일,716.96,680.00
2017년05월12일,716.31,679.50
2017년05월13일,715.93,679.08
2017년05월14일,715.59,678.63
2017년05월15일,715.70,676.82
2017년05월16일,715.24,676.46
2017년05월17일,714.85,676.91
2017년05월18일,714.46,676.77
2017년05월19일,714.24,676.00
2017년05월20일,714.09,674.96
2017년05월21일,714.12,674.59
2017년05월22일,713.98,674.30
2017년05월23일,713.62,673.10
2017년05월24일,713.30,673.86
2017년05월25일,713.01,674.21
2017년05월26일,713.01,675.19
2017년05월27일,712.92,675.22
2017년05월28일,713.09,676.43
2017년05월29일,712.77,676.50
2017년05월30일,712.64,676.43
2017년05월31일,712.64,676.18
2017년06월01일,712.06,675.63
2017년06월02일,711.65,674.73
2017년06월03일,711.38,673.46
2017년06월04일,711.03,672.84
2017년06월05일,710.34,672.16
2017년06월06일,710.34,672.16
2017년06월07일,709.59,670.88
2017년06월08일,709.35,672.50
2017년06월09일,709.47,672.02
2017년06월10일,709.29,673.18
2017년06월11일,708.78,674.43
2017년06월12일,708.46,674.22
2017년06월13일,708.02,673.85
2017년06월14일,707.70,673.88
2017년06월15일,707.50,673.51
2017년06월16일,707.46,673.45
2017년06월17일,705.53,672.47
2017년06월18일,705.45,672.13
2017년06월19일,704.94,672.48
2017년06월20일,703.96,670.69
2017년06월21일,703.46,669.08
2017년06월22일,702.95,669.21
2017년06월23일,702.45,668.38
2017년06월24일,701.57,667.85
2017년06월25일,700.94,668.12
2017년06월26일,700.56,668.78
2017년06월27일,699.90,668.51
2017년06월28일,698.72,667.46
2017년06월29일,698.39,667.29
2017년06월30일,697.48,667.17
2017년07월01일,696.30,667.66
2017년07월02일,695.79,667.82
2017년07월03일,695.47,666.96
2017년07월04일,694.49,666.23
2017년07월05일,693.66,665.64
2017년07월06일,693.52,665.07
2017년07월07일,693.08,665.23
2017년07월08일,692.78,664.99
2017년07월09일,692.49,663.71
2017년07월10일,692.28,663.17
2017년07월11일,691.53,661.97
2017년07월12일,691.41,661.52
2017년07월13일,691.13,662.06
2017년07월14일,691.25,661.52
2017년07월15일,690.81,661.90
2017년07월16일,690.69,661.06
2017년07월17일,690.50,661.51
2017년07월18일,690.26,662.12
2017년07월19일,690.03,663.03
2017년07월20일,690.11,662.67
2017년07월21일,689.93,662.50
2017년07월22일,689.65,661.66
2017년07월23일,689.60,661.65
2017년07월24일,689.19,662.09
2017년07월25일,689.05,662.83
2017년07월26일,688.98,663.13
2017년07월27일,688.91,662.60
2017년07월28일,688.88,662.40
2017년07월29일,688.81,661.88
2017년07월30일,688.88,662.48
2017년07월31일,688.99,662.33
2017년08월01일,688.70,661.89
2017년08월02일,688.23,661.14
2017년08월03일,688.08,660.77
2017년08월04일,687.42,660.04
2017년08월05일,686.22,658.75
2017년08월06일,685.03,658.71
2017년08월07일,688.22,660.89
2017년08월08일,688.92,663.12
2017년08월09일,690.05,663.60
2017년08월10일,690.97,663.65
2017년08월11일,691.92,664.30
2017년08월12일,692.39,665.32
2017년08월13일,692.94,666.04
2017년08월14일,693.43,665.92
2017년08월15일,693.42,666.63
2017년08월16일,693.27,666.59
2017년08월17일,693.21,666.99
2017년08월18일,693.83,666.20
2017년08월19일,694.02,666.26
2017년08월20일,694.05,667.04
2017년08월21일,693.99,666.92
2017년08월22일,694.12,667.37
2017년08월23일,694.50,667.18
2017년08월24일,695.03,667.46
2017년08월25일,695.06,667.78
2017년08월26일,695.42,667.90
2017년08월27일,696.00,668.12
2017년08월28일,696.27,667.61
2017년08월29일,696.47,668.74
2017년08월30일,696.81,669.15
2017년08월31일,697.28,668.65
2017년09월01일,697.63,669.11
2017년09월02일,698.56,669.89
2017년09월03일,699.31,669.87
2017년09월04일,699.69,669.44
2017년09월05일,699.85,669.46
2017년09월06일,700.47,669.74
2017년09월07일,700.66,669.61
2017년09월08일,701.01,669.25
2017년09월09일,701.58,669.28
2017년09월10일,701.97,669.81
2017년09월11일,702.30,669.35
2017년09월12일,702.84,670.43
2017년09월13일,703.66,670.92
2017년09월14일,704.63,672.26
2017년09월15일,705.08,672.12
2017년09월16일,705.58,672.87
2017년09월17일,706.56,673.10
2017년09월18일,707.18,673.13
2017년09월19일,706.91,673.09
2017년09월20일,707.85,673.93
2017년09월21일,708.53,674.94
2017년09월22일,709.46,675.46
2017년09월23일,710.46,675.22
2017년09월24일,710.77,675.18
2017년09월25일,710.87,675.11
2017년09월26일,711.57,676.79
2017년09월27일,711.59,676.81
2017년09월28일,712.39,676.61
2017년09월29일,713.51,677.54
2017년09월30일,714.29,678.58
2017년10월01일,715.61,679.81
2017년10월02일,716.67,679.93
2017년10월03일,717.49,681.15
2017년10월04일,718.11,681.51
2017년10월05일,718.26,681.49
2017년10월06일,718.74,680.96
2017년10월07일,719.16,681.97
2017년10월08일,719.16,683.14
2017년10월09일,719.16,683.78
2017년10월10일,719.59,684.87
2017년10월11일,720.06,685.69
2017년10월12일,720.58,685.86
2017년10월13일,721.07,686.20
2017년10월14일,721.20,687.35
2017년10월15일,721.73,687.91
2017년10월16일,721.97,688.44
2017년10월17일,722.19,689.16
2017년10월18일,722.73,689.45
2017년10월19일,723.16,690.26
2017년10월20일,723.38,690.76
2017년10월21일,723.74,690.77
2017년10월22일,724.17,691.09
2017년10월23일,724.33,691.07
2017년10월24일,724.39,691.27
2017년10월25일,724.26,691.61
2017년10월26일,724.84,691.83
2017년10월27일,724.72,691.98
2017년10월28일,725.03,692.38
2017년10월29일,725.45,692.55
2017년10월30일,725.42,692.54
2017년10월31일,725.48,692.05
2017년11월01일,725.03,692.09
2017년11월02일,726.71,693.21
2017년11월03일,726.71,693.21
2017년11월04일,727.54,693.35
2017년11월05일,727.98,693.63
2017년11월06일,728.35,693.94
2017년11월07일,728.56,693.78
2017년11월08일,729.42,694.40
2017년11월09일,730.24,695.73
2017년11월10일,731.06,695.94
2017년11월11일,732.40,696.36
2017년11월12일,732.81,696.99
2017년11월13일,732.81,696.99
2017년11월14일,733.45,698.39
2017년11월15일,734.54,699.53
2017년11월16일,735.79,701.10
2017년11월17일,736.47,701.86
2017년11월18일,737.21,702.94
2017년11월19일,737.80,703.55
2017년11월20일,737.95,703.74
2017년11월21일,738.29,704.39
2017년11월22일,739.23,705.38
2017년11월23일,739.85,706.16
2017년11월24일,740.78,706.70
2017년11월25일,741.32,707.38
2017년11월26일,742.10,707.63
2017년11월27일,742.49,708.74
2017년11월28일,743.11,709.16
2017년11월29일,743.65,709.96
2017년11월30일,744.28,710.89
2017년12월01일,744.72,711.02
2017년12월02일,746.47,712.72
2017년12월03일,747.54,714.04
2017년12월04일,748.38,714.47
2017년12월05일,748.62,715.57
2017년12월06일,749.44,716.29
2017년12월07일,750.00,717.24
2017년12월08일,750.13,718.22
2017년12월09일,750.48,718.38
2017년12월10일,751.25,718.93
2017년12월11일,751.26,719.83
2017년12월12일,751.41,720.24
2017년12월13일,751.22,719.83
2017년12월14일,751.43,721.69
2017년12월15일,752.21,722.02
